Comparing files reiasmbmp.bmp and REICBMP.BMP
000000F6: 3E 39
0000010E: AE AD
00000216: 4B 46
0000022E: C8 C7
00000336: 4B 46
0000034E: 69 68
00000456: 42 3D
0000046E: 43 42
00000576: 41 3D
0000058E: 33 32
00000696: 41 3E
000006AE: 42 41
000007B6: 43 40
000008D6: 4D 49
000008EE: 6D 6C
000009F6: 57 53
00000A0E: D9 D8
00000B16: 60 5D
00000B2E: D6 D5
00000B46: F7 F6
00000C36: 56 52
00000C4E: DB DA
00000C66: F8 F7
00000D56: CB D0
00000D6E: F0 F1
00000E76: C5 CA
00000E8E: F1 F2
00000F96: CB D0
00000FAE: F3 F4
000010B6: C1 C7
000010CE: F3 F4
000011D6: CA D0
000011EE: F4 F6
00001206: FC FD
000012F6: E0 E8
0000130E: F9 FA
00001416: E5 ED
0000142E: F9 FB
00001446: FD FE
00001536: E1 E9
0000154E: F9 FA
00001656: DA E2
0000166E: F7 F9
00001776: D9 E1
0000178E: F7 F9
00001896: 8B 8C
000019B6: 79 78
00001AD6: A6 A8
00001BF6: A2 A3
00001D16: AD AE
00001E36: B0 AF
00001E4E: F0 EF
00001E66: FC FB
00002076: AB AC
00002196: AF AD
000022B6: A2 9F
000022CE: A5 A4
000023D6: 88 82
000023EE: A6 A5
00002406: E6 E5
000024F6: 8E 8B
00002616: 91 90
00002BB6: 83 84
00002CD6: 74 73
00002DF6: 53 4F
00002E0E: A5 A4
00003036: 40 3E
0000304E: A6 A5
00003066: B3 B2
00003276: 22 1A
0000328E: 9C 9A
000032A6: B4 B3
00003396: 66 65
000033AE: AB AA
000033C6: B7 B6
000034B6: 3F 3B
000035D6: 82 84
00003816: 92 91
00003936: 94 93
00003B76: B7 B8
00003C96: B8 BB
00003CAE: BE BF
00003DB6: B8 BB
00003DCE: BA BB
00003DE6: B7 B8
00003ED6: BE BF
00003FF6: C2 C4
00004236: C7 C8
00004356: C8 C9
00004476: C9 CA
00004596: CA CB
000045AE: CB CC
000047D6: CC CB
00004A16: CB CA
00004A2E: C6 C5
00004A46: C3 C2
00004B36: CB CA
00004B4E: C7 C6
00005436: CC CB
00005556: CD CC
000059D6: BE BC
00005AF6: BC BA
00005B0E: E1 E0
00005D36: DD DE
00005F76: E1 E2
00006096: C9 C8
000061B6: C6 C5
000061CE: C5 C4
000062D6: C8 C7
00006516: C8 C7
00006756: BE BD
00006876: B4 B3
00006996: AE AD
00006AB6: A8 A7
00006BD6: CA CC
00006BEE: F0 F1
